0,0,31449283|31610035|19667846|32748825,0,107478,ch_quest158_stage001|ch_quest159_stage001,0,4,mw_battlepass_billboard_000_a|mw_battlepass_billboard_000_b|mw_battlepass_billboard_000_c|mw_battlepass_billboard_000_d,1|0|0|0,1|1|0|0,0|0|0|0,,
1,107478,25190114,1,108353,,0,1,mw_battlepass_billboard_001,0,0,0,,
2,215831,25076111,0,109235,,0,1,mw_battlepass_billboard_002,0,0,0,,
3,325066,19262075,0,110125,,0,1,mw_battlepass_billboard_003,0,0,0,,
4,435191,29470480,0,111022,,0,1,mw_battlepass_billboard_004,0,0,0,,
5,546213,20157773,0,111925,,0,1,mw_battlepass_billboard_005,0,1,0,,
6,658138,350013,1,112837,,100,1,mw_battlepass_billboard_006,0,0,0,,
7,770975,32109261,0,113755,,0,1,mw_battlepass_billboard_007,0,0,0,,
8,884730,31324845,0,114682,,0,1,mw_battlepass_billboard_008,0,0,480002,mw_battlepass_billboard_008_alt,
9,999412,22755478,0,115615,,0,1,mw_battlepass_billboard_009,0,0,0,,
10,1115027,26176132,0,116557,ch_quest160_stage001,0,1,mw_battlepass_billboard_010,0,1,0,,
11,1231584,24110936,0,117506,,0,1,mw_battlepass_billboard_011,0,0,0,,
12,1349090,350013,0,118463,,100,1,mw_battlepass_billboard_012,0,0,0,,
13,1467553,19262075,0,119427,,0,1,mw_battlepass_billboard_013,0,0,0,,
14,1586980,32045060,0,120400,,0,1,mw_battlepass_billboard_014,0,0,0,,
15,1707380,27012354,1,121379,,0,1,mw_battlepass_billboard_015,1,1,0,,
16,1828759,20479602,0,122369,,0,1,mw_battlepass_billboard_016,0,0,0,,
17,1951128,350013,0,123364,,100,1,mw_battlepass_billboard_017,0,0,0,,
18,2074492,26673104,0,124369,,0,1,mw_battlepass_billboard_018,0,1,0,,
19,2198861,28123830,0,125382,,0,1,mw_battlepass_billboard_019,0,0,0,,
20,2324243,21190231,0,126403,ch_quest161_stage001,0,1,mw_battlepass_billboard_020,0,1,0,,
21,2450646,22150861,1,127432,,0,1,mw_battlepass_billboard_021,0,1,0,,
22,2578078,20181455,0,128469,,0,1,mw_battlepass_billboard_022,0,0,0,,
23,2706547,350013,0,129515,,100,1,mw_battlepass_billboard_023,0,0,0,,
24,2836062,21617237,1,130570,,0,1,mw_battlepass_billboard_024,0,1,0,,
25,2966632,22654383,0,131633,,0,1,mw_battlepass_billboard_025,0,0,0,,
26,3098265,19416555,0,132705,,0,1,mw_battlepass_billboard_026,0,0,480061,mw_battlepass_billboard_026_alt,
27,3230970,18422342,0,133786,,0,1,mw_battlepass_billboard_027,0,1,0,,
28,3364756,28101802,1,134874,,0,1,mw_battlepass_billboard_028,0,0,0,,
29,3499630,30886333,0,135973,,0,1,mw_battlepass_billboard_029,0,0,0,,
30,3635603,26992398,0,137080,ch_quest162_stage001,0,1,mw_battlepass_billboard_030,0,1,0,,
31,3772683,25273531,1,138197,,0,1,mw_battlepass_billboard_031,1,1,0,,
32,3910880,350013,0,139321,,100,1,mw_battlepass_billboard_032,0,0,0,,
33,4050201,25434274,0,140456,,0,1,mw_battlepass_billboard_033,0,0,0,,
34,4190657,25981618,1,141599,,0,1,mw_battlepass_billboard_034,0,0,0,,
35,4332256,21872168,0,142753,,0,1,mw_battlepass_billboard_035,0,1,0,,
36,4475009,28150952,0,143914,,0,1,mw_battlepass_billboard_036,0,0,0,,
37,4618923,23319723,1,145087,,0,1,mw_battlepass_billboard_037,0,0,0,,
38,4764010,21493041,0,146268,,0,1,mw_battlepass_billboard_038,0,1,0,,
39,4910278,22551297,1,147459,,0,1,mw_battlepass_billboard_039,0,0,480022,mw_battlepass_billboard_039_alt,
40,5057737,24329805,0,148659,ch_quest163_stage001,0,1,mw_battlepass_billboard_040,0,1,0,,
41,5206396,350013,0,149870,,100,1,mw_battlepass_billboard_041,0,0,0,,
42,5356266,24640576,0,151090,,0,1,mw_battlepass_billboard_042,0,1,0,,
43,5507356,32109261,0,152321,,0,1,mw_battlepass_billboard_043,0,0,0,,
44,5659677,29975393|18485087|20447054|21332932,1,153560,,0,1,mw_battlepass_billboard_044,0,0,0,,
45,5813237,25710669,0,154811,,0,1,mw_battlepass_billboard_045,0,1,0,,
46,5968048,27032621,0,156072,,0,1,mw_battlepass_billboard_046,0,0,0,,
47,6124120,28158478,0,157342,,0,1,mw_battlepass_billboard_047,0,0,0,,
48,6281462,350013,1,158623,,100,1,mw_battlepass_billboard_048,0,0,0,,
49,6440085,28580458,0,159915,,0,1,mw_battlepass_billboard_049,0,0,0,,
50,6600000,31968345,0,161217,ch_quest164_stage001,0,1,mw_battlepass_billboard_050,0,1,0,,
51,6761217,33222103,0,162530,,0,1,mw_battlepass_billboard_051,0,1,0,,
52,6923747,31325678,0,163853,,0,1,mw_battlepass_billboard_052,0,0,0,,
53,7087600,30886333,0,165187,,0,1,mw_battlepass_billboard_053,0,0,0,,
54,7252787,21702099,0,166532,,0,1,mw_battlepass_billboard_054,0,0,0,,
55,7419319,28732061,1,167888,,0,1,mw_battlepass_billboard_055,0,1,0,,
56,7587207,350013,0,169255,,100,1,mw_battlepass_billboard_056,0,0,0,,
57,7756462,19262075,0,170633,,0,1,mw_battlepass_billboard_057,0,0,0,,
58,7927095,24720056,0,172023,,0,1,mw_battlepass_billboard_058,0,0,0,,
59,8099118,18906924,0,173423,,0,1,mw_battlepass_billboard_059,0,1,0,,
60,8272541,30235509,0,174835,ch_quest165_stage001,0,1,mw_battlepass_billboard_060,0,1,0,,
61,8447376,24604693,1,176259,,0,1,mw_battlepass_billboard_061,0,0,0,,
62,8623635,29885975,0,177694,,0,1,mw_battlepass_billboard_062,0,0,0,,
63,8801329,27431022,0,179141,,0,1,mw_battlepass_billboard_063,0,0,0,,
64,8980470,31423431,1,180599,,0,1,mw_battlepass_billboard_064,0,0,0,,
65,9161069,25573093,0,182070,,0,1,mw_battlepass_billboard_065,0,1,0,,
66,9343139,350013,0,183553,,100,1,mw_battlepass_billboard_066,0,0,0,,
67,9526692,18080120,1,185046,,0,1,mw_battlepass_billboard_067,0,0,0,,
68,9711738,22654383,0,186554,,0,1,mw_battlepass_billboard_068,0,0,0,,
69,9898292,29332642,0,188073,,0,1,mw_battlepass_billboard_069,0,0,0,,
70,10086365,28959666,0,189604,ch_quest166_stage001,0,1,mw_battlepass_billboard_070,0,1,0,,
71,10275969,31550348,0,191147,,0,1,mw_battlepass_billboard_071,0,1,0,,
72,10467116,27498785|32647498|30805014,1,192704,,0,1,mw_battlepass_billboard_072,0,0,0,,
73,10659820,32109261,0,194273,,0,1,mw_battlepass_billboard_073,0,0,0,,
74,10854093,350013,0,195855,,100,1,mw_battlepass_billboard_074,0,0,0,,
75,11049948,26853995,0,197450,,0,1,mw_battlepass_billboard_075,0,0,0,,
76,11247398,17940631,0,199057,,0,1,mw_battlepass_billboard_076,0,1,0,,
77,11446455,27330986,1,200679,,0,1,mw_battlepass_billboard_077,0,0,0,,
78,11647134,28150952,0,202312,,0,1,mw_battlepass_billboard_078,0,0,0,,
79,11849446,31819511,0,203959,,0,1,mw_battlepass_billboard_079,0,0,0,,
80,12053405,25719930,0,205620,ch_quest167_stage001,0,1,mw_battlepass_billboard_080,0,1,0,,
81,12259025,20721218,1,207294,,0,1,mw_battlepass_billboard_081,0,1,0,,
82,12466319,350013,0,208983,,100,1,mw_battlepass_billboard_082,0,0,0,,
83,12675302,30886333,0,210683,,0,1,mw_battlepass_billboard_083,0,0,0,,
84,12885985,18820093,1,212400,,0,1,mw_battlepass_billboard_084,0,0,0,,
85,13098385,18013978,0,214128,,0,1,mw_battlepass_billboard_085,0,1,0,,
86,13312513,27033968,0,215872,,0,1,mw_battlepass_billboard_086,0,0,0,,
87,13528385,19262075,0,217630,,0,1,mw_battlepass_billboard_087,0,0,0,,
88,13746015,20576617,1,219402,,0,1,mw_battlepass_billboard_088,0,0,0,,
89,13965417,32256479,0,221188,,0,1,mw_battlepass_billboard_089,0,1,0,,
90,14186605,32857016,0,222989,ch_quest168_stage001,0,1,mw_battlepass_billboard_090,0,1,0,,
91,14409594,350013,0,224805,,100,1,mw_battlepass_billboard_091,0,0,0,,
92,14634399,18803540,0,226635,,0,1,mw_battlepass_billboard_092,0,0,0,,
93,14861034,21355685,0,228481,,0,1,mw_battlepass_billboard_093,0,0,0,,
94,15089515,21125552|27738066|32168617,1,230341,,0,1,mw_battlepass_billboard_094,0,0,0,,
95,15319856,22415806,0,232216,,0,1,mw_battlepass_billboard_095,1,1,0,,
96,15552072,32109261,0,234107,,0,1,mw_battlepass_billboard_096,0,0,0,,
97,15786179,25172627,0,236014,,0,1,mw_battlepass_billboard_097,0,0,0,,
98,16022193,350013,1,237935,,100,1,mw_battlepass_billboard_098,0,0,0,,
99,16260128,30712635,0,239872,,0,1,mw_battlepass_billboard_099,0,0,0,,
100,16500000,25341936|32277672|24332314|25164194,0,0,ch_quest169_stage001,0,4,mw_battlepass_billboard_100_a|mw_battlepass_billboard_100_b|mw_battlepass_billboard_100_c|mw_battlepass_billboard_100_e,1|1|0|0,1|1|0|0,0|0|480041|0,0|0|mw_battlepass_billboard_100_d_alt|0,
